epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,65.7218,0.59664,0.43536,0.83772,0.69044,0.63934,0.6041,0.38565,1.16548,1.15032,1.19694,0.000490762,0.000490762,0.000490762
61,66.8207,0.57721,0.42962,0.83297,0.69044,0.63934,0.6041,0.38565,1.16548,1.15032,1.19694,0.0004872,0.0004872,0.0004872
62,67.8182,0.60719,0.41905,0.84871,0.69044,0.63934,0.6041,0.38565,1.16548,1.15032,1.19694,0.000483242,0.000483242,0.000483242
63,68.8221,0.63181,0.4357,0.82725,0.68083,0.66448,0.60976,0.39682,1.09239,1.14638,1.14234,0.000478888,0.000478888,0.000478888
64,69.8422,0.59073,0.43979,0.83639,0.68083,0.66448,0.60976,0.39682,1.09239,1.14638,1.14234,0.000474138,0.000474138,0.000474138
65,70.8319,0.57491,0.41935,0.83194,0.68083,0.66448,0.60976,0.39682,1.09239,1.14638,1.14234,0.000468992,0.000468992,0.000468992
66,71.8672,0.59334,0.43247,0.85811,0.66621,0.65441,0.58598,0.37855,1.11007,1.1747,1.13801,0.00046345,0.00046345,0.00046345
67,72.9516,0.49894,0.35797,0.80962,0.66621,0.65441,0.58598,0.37855,1.11007,1.1747,1.13801,0.000457512,0.000457512,0.000457512
68,74.017,0.56771,0.41017,0.81998,0.66621,0.65441,0.58598,0.37855,1.11007,1.1747,1.13801,0.000451178,0.000451178,0.000451178
69,75.0728,0.66431,0.41398,0.82124,0.65938,0.65574,0.5705,0.37504,1.09342,1.21472,1.13293,0.000444448,0.000444448,0.000444448
70,76.1349,0.5606,0.39385,0.81503,0.65938,0.65574,0.5705,0.37504,1.09342,1.21472,1.13293,0.000437322,0.000437322,0.000437322
71,77.2138,0.57549,0.38424,0.84062,0.65938,0.65574,0.5705,0.37504,1.09342,1.21472,1.13293,0.0004298,0.0004298,0.0004298
72,78.3121,0.70985,0.428,0.82538,0.67093,0.63512,0.56865,0.37819,1.08966,1.22258,1.12448,0.000421882,0.000421882,0.000421882
73,79.3247,0.60967,0.40145,0.82369,0.67093,0.63512,0.56865,0.37819,1.08966,1.22258,1.12448,0.000413568,0.000413568,0.000413568
74,80.3559,0.58307,0.38386,0.82644,0.67093,0.63512,0.56865,0.37819,1.08966,1.22258,1.12448,0.000404858,0.000404858,0.000404858
75,81.4127,0.62176,0.4144,0.81864,0.62495,0.67213,0.57339,0.37353,1.09839,1.22845,1.12118,0.000395752,0.000395752,0.000395752
76,82.4533,0.57709,0.3776,0.84035,0.62495,0.67213,0.57339,0.37353,1.09839,1.22845,1.12118,0.00038625,0.00038625,0.00038625
77,83.4702,0.54291,0.39316,0.80887,0.62495,0.67213,0.57339,0.37353,1.09839,1.22845,1.12118,0.000376352,0.000376352,0.000376352
78,84.5597,0.53788,0.36616,0.81675,0.65247,0.63934,0.57749,0.37921,1.1024,1.2336,1.1246,0.000366058,0.000366058,0.000366058
79,85.6592,0.62291,0.40267,0.83143,0.65247,0.63934,0.57749,0.37921,1.1024,1.2336,1.1246,0.000355368,0.000355368,0.000355368
80,86.7365,0.56906,0.3906,0.85119,0.65247,0.63934,0.57749,0.37921,1.1024,1.2336,1.1246,0.000344282,0.000344282,0.000344282
81,87.8229,0.58593,0.44564,0.83323,0.66081,0.62295,0.56842,0.38356,1.11348,1.26602,1.13752,0.0003328,0.0003328,0.0003328
82,88.8709,0.58095,0.38988,0.8365,0.66081,0.62295,0.56842,0.38356,1.11348,1.26602,1.13752,0.000320922,0.000320922,0.000320922
83,89.9017,0.57933,0.3788,0.80837,0.66081,0.62295,0.56842,0.38356,1.11348,1.26602,1.13752,0.000308648,0.000308648,0.000308648
84,90.9563,0.58075,0.38621,0.84001,0.66637,0.62214,0.57586,0.38952,1.12776,1.27846,1.14781,0.000295978,0.000295978,0.000295978
85,92.0137,0.5255,0.34311,0.82068,0.66637,0.62214,0.57586,0.38952,1.12776,1.27846,1.14781,0.000282912,0.000282912,0.000282912
86,93.0208,0.51,0.34535,0.80142,0.66637,0.62214,0.57586,0.38952,1.12776,1.27846,1.14781,0.00026945,0.00026945,0.00026945
87,94.0254,0.54543,0.35957,0.82679,0.66637,0.62214,0.57586,0.38952,1.12776,1.27846,1.14781,0.000255592,0.000255592,0.000255592
88,95.0861,0.57256,0.41474,0.84331,0.66599,0.62109,0.58028,0.39402,1.13914,1.27232,1.1524,0.000241338,0.000241338,0.000241338
89,96.1491,0.59603,0.40376,0.8005,0.66599,0.62109,0.58028,0.39402,1.13914,1.27232,1.1524,0.000226688,0.000226688,0.000226688
90,97.1622,0.59504,0.39959,0.83565,0.66599,0.62109,0.58028,0.39402,1.13914,1.27232,1.1524,0.000211642,0.000211642,0.000211642
91,99.186,0.54839,0.43911,0.81215,0.66599,0.62109,0.58028,0.39402,1.13914,1.27232,1.1524,0.0001962,0.0001962,0.0001962
92,100.402,0.46484,0.36245,0.80645,0.63142,0.63934,0.57885,0.40023,1.13723,1.27052,1.14828,0.000180362,0.000180362,0.000180362
93,101.541,0.47361,0.37592,0.79855,0.63142,0.63934,0.57885,0.40023,1.13723,1.27052,1.14828,0.000164128,0.000164128,0.000164128
94,102.62,0.43756,0.32388,0.80402,0.63142,0.63934,0.57885,0.40023,1.13723,1.27052,1.14828,0.000147498,0.000147498,0.000147498
95,103.687,0.49222,0.37361,0.78968,0.63142,0.63934,0.57885,0.40023,1.13723,1.27052,1.14828,0.000130472,0.000130472,0.000130472
96,104.816,0.48625,0.35156,0.7845,0.62189,0.68852,0.61828,0.39508,1.13628,1.28728,1.14871,0.00011305,0.00011305,0.00011305
97,105.865,0.46354,0.32559,0.82338,0.62189,0.68852,0.61828,0.39508,1.13628,1.28728,1.14871,9.5232e-05,9.5232e-05,9.5232e-05
98,106.862,0.44115,0.33061,0.81329,0.62189,0.68852,0.61828,0.39508,1.13628,1.28728,1.14871,7.7018e-05,7.7018e-05,7.7018e-05
99,107.928,0.45011,0.33216,0.83185,0.62189,0.68852,0.61828,0.39508,1.13628,1.28728,1.14871,5.8408e-05,5.8408e-05,5.8408e-05
100,109.003,0.42933,0.31491,0.80763,0.62327,0.67213,0.61287,0.40324,1.12817,1.27883,1.13993,3.9402e-05,3.9402e-05,3.9402e-05
